"id","year","hrs1","class","region","racehisp"
1037,2012,60,"Working","Middle Atlantic","Hispanic"
1038,2012,40,"Working","Middle Atlantic","White"
1041,2012,40,"Middle","Middle Atlantic","White"
1047,2012,4,"Lower","Middle Atlantic","White"
1048,2012,40,"Working","Middle Atlantic","Hispanic"
1051,2012,40,"Middle","Middle Atlantic","White"
1055,2012,20,"Middle","Middle Atlantic","White"
1057,2012,55,"Middle","Middle Atlantic","White"
1058,2012,45,"Middle","Middle Atlantic","White"
1059,2012,22,"Middle","Middle Atlantic","White"
1060,2012,15,"Middle","Middle Atlantic","White"
1061,2012,52,"Working","Middle Atlantic","White"
1062,2012,60,"Middle","Middle Atlantic","White"
1064,2012,8,"Middle","Middle Atlantic","White"
1065,2012,16,"Working","Middle Atlantic","White"
1066,2012,24,"Working","Middle Atlantic","White"
1067,2012,40,"Working","Middle Atlantic","Hispanic"
1069,2012,40,"Upper","Middle Atlantic","Black"
1070,2012,16,"Working","Middle Atlantic","Hispanic"
1076,2012,45,"Middle","Middle Atlantic","White"
1077,2012,50,"Middle","Middle Atlantic","White"
1078,2012,50,"Middle","Middle Atlantic","White"
1080,2012,70,"Middle","Middle Atlantic","White"
1081,2012,35,"Working","Middle Atlantic","White"
1082,2012,40,"Middle","Middle Atlantic","White"
1084,2012,52,"Working","Middle Atlantic","White"
1085,2012,25,"Working","Middle Atlantic","White"
1086,2012,20,"Lower","Middle Atlantic","White"
1087,2012,17,"Middle","Middle Atlantic","White"
1088,2012,35,"Middle","Middle Atlantic","White"
1090,2012,40,"Working","South","White"
1094,2012,24,"Working","South","Hispanic"
1096,2012,40,"Working","South","White"
1097,2012,20,"Middle","South","White"
1101,2012,30,"Working","South","White"
1102,2012,40,"Working","South","White"
1103,2012,68,"Working","South","White"
1104,2012,20,"Middle","South","White"
1105,2012,42,"Working","South","White"
1107,2012,20,"Lower","South","White"
1112,2012,32,"Middle","South","White"
1113,2012,48,"Working","South","White"
1114,2012,60,"Working","South","White"
1116,2012,25,"Working","South","Hispanic"
1117,2012,32,"Middle","South","White"
1119,2012,40,"Middle","South","White"
1120,2012,65,"Working","South","White"
1121,2012,32,"Working","South","White"
1125,2012,40,"Working","South","White"
1128,2012,65,"Middle","South","White"
1130,2012,40,"Working","South","White"
1133,2012,40,"Middle","South","White"
1134,2012,32,"Working","South","Hispanic"
1135,2012,56,"Working","South","Black"
1137,2012,48,"Working","South","White"
1140,2012,40,"Working","South","Black"
1141,2012,40,"Middle","South","Black"
1142,2012,40,"Middle","South","White"
1144,2012,40,"Working","South","White"
1145,2012,40,"Upper","South","Black"
1148,2012,37,"Working","South","White"
1151,2012,43,"Middle","South","Black"
1152,2012,21,"Working","South","White"
1156,2012,32,"Lower","South","White"
